x-kolam 1,y-kolam 1,x-kolam 2,y-kolam 2,x-kolam 3,y-kolam 3,x-kolam 4,y-kolam 4,x-kolam 5,y-kolam 5,x-kolam 6,y-kolam 6,x-kolam 7,y-kolam 7,x-kolam 8,y-kolam 8,x-kolam 9,y-kolam 9,x-kolam 10,y-kolam 10,x-kolam 11,y-kolam 11,x-kolam 12,y-kolam 12,x-kolam 13,y-kolam 13,x-kolam 14,y-kolam 14,x-kolam 15,y-kolam 15,x-kolam 16,y-kolam 16,x-kolam 17,y-kolam 17,x-kolam 18,y-kolam 18,x-kolam 19,y-kolam 19,x-kolam 20,y-kolam 20,x-kolam 21,y-kolam 21,x-kolam 22,y-kolam 22,x-kolam 23,y-kolam 23,x-kolam 24,y-kolam 24,x-kolam 25,y-kolam 25,x-kolam 26,y-kolam 26,x-kolam 27,y-kolam 27,x-kolam 28,y-kolam 28,x-kolam 29,y-kolam 29,x-kolam 30,y-kolam 30,x-kolam 31,y-kolam 31,x-kolam 32,y-kolam 32,x-kolam 33,y-kolam 33,x-kolam 34,y-kolam 34,x-kolam 35,y-kolam 35,x-kolam 36,y-kolam 36,x-kolam 37,y-kolam 37,x-kolam 38,y-kolam 38,x-kolam 39,y-kolam 39,x-kolam 40,y-kolam 40,x-kolam 41,y-kolam 41,x-kolam 42,y-kolam 42,x-kolam 43,y-kolam 43,x-kolam 44,y-kolam 44,x-kolam 45,y-kolam 45,x-kolam 46,y-kolam 46,x-kolam 47,y-kolam 47,x-kolam 48,y-kolam 48,x-kolam 49,y-kolam 49,x-kolam 50,y-kolam 50,x-kolam 51,y-kolam 51,x-kolam 52,y-kolam 52,x-kolam 53,y-kolam 53,x-kolam 54,y-kolam 54,x-kolam 55,y-kolam 55,x-kolam 56,y-kolam 56,x-kolam 57,y-kolam 57,x-kolam 58,y-kolam 58,x-kolam 59,y-kolam 59,x-kolam 60,y-kolam 60,x-kolam 61,y-kolam 61,x-kolam 62,y-kolam 62,x-kolam 63,y-kolam 63,x-kolam 64,y-kolam 64,x-kolam 65,y-kolam 65,x-kolam 66,y-kolam 66,x-kolam 67,y-kolam 67,x-kolam 68,y-kolam 68,x-kolam 69,y-kolam 69,x-kolam 70,y-kolam 70,x-kolam 71,y-kolam 71,x-kolam 72,y-kolam 72,x-kolam 73,y-kolam 73,x-kolam 74,y-kolam 74,x-kolam 75,y-kolam 75,x-kolam 76,y-kolam 76,x-kolam 77,y-kolam 77,x-kolam 78,y-kolam 78,x-kolam 79,y-kolam 79,x-kolam 80,y-kolam 80,x-kolam 81,y-kolam 81,x-kolam 82,y-kolam 82,x-kolam 83,y-kolam 83,x-kolam 84,y-kolam 84,x-kolam 85,y-kolam 85,x-kolam 86,y-kolam 86,x-kolam 87,y-kolam 87,x-kolam 88,y-kolam 88,x-kolam 89,y-kolam 89,x-kolam 90,y-kolam 90,x-kolam 91,y-kolam 91,x-kolam 92,y-kolam 92,x-kolam 93,y-kolam 93,x-kolam 94,y-kolam 94,x-kolam 95,y-kolam 95,x-kolam 96,y-kolam 96,x-kolam 97,y-kolam 97,x-kolam 98,y-kolam 98,x-kolam 99,y-kolam 99,x-kolam 100,y-kolam 100,x-kolam 101,y-kolam 101,x-kolam 102,y-kolam 102,x-kolam 103,y-kolam 103,x-kolam 104,y-kolam 104,x-kolam 105,y-kolam 105,x-kolam 106,y-kolam 106,x-kolam 107,y-kolam 107,x-kolam 108,y-kolam 108,x-kolam 109,y-kolam 109,x-kolam 110,y-kolam 110,x-kolam 111,y-kolam 111,x-kolam 112,y-kolam 112,x-kolam 113,y-kolam 113,x-kolam 114,y-kolam 114,x-kolam 115,y-kolam 115,x-kolam 116,y-kolam 116,x-kolam 117,y-kolam 117,x-kolam 118,y-kolam 118,x-kolam 119,y-kolam 119,x-kolam 120,y-kolam 120,x-kolam 121,y-kolam 121,x-kolam 122,y-kolam 122,x-kolam 123,y-kolam 123,x-kolam 124,y-kolam 124,x-kolam 125,y-kolam 125,x-kolam 126,y-kolam 126,x-kolam 127,y-kolam 127,x-kolam 128,y-kolam 128,x-kolam 129,y-kolam 129,x-kolam 130,y-kolam 130,x-kolam 131,y-kolam 131,x-kolam 132,y-kolam 132,x-kolam 133,y-kolam 133,x-kolam 134,y-kolam 134,x-kolam 135,y-kolam 135,x-kolam 136,y-kolam 136,x-kolam 137,y-kolam 137,x-kolam 138,y-kolam 138,x-kolam 139,y-kolam 139,x-kolam 140,y-kolam 140,x-kolam 141,y-kolam 141,x-kolam 142,y-kolam 142,x-kolam 143,y-kolam 143,x-kolam 144,y-kolam 144,x-kolam 145,y-kolam 145,x-kolam 146,y-kolam 146,x-kolam 147,y-kolam 147,x-kolam 148,y-kolam 148,x-kolam 149,y-kolam 149,x-kolam 150,y-kolam 150,x-kolam 151,y-kolam 151,x-kolam 152,y-kolam 152,x-kolam 153,y-kolam 153,x-kolam 154,y-kolam 154,x-kolam 155,y-kolam 155,x-kolam 156,y-kolam 156,x-kolam 157,y-kolam 157,x-kolam 158,y-kolam 158,x-kolam 159,y-kolam 159,x-kolam 160,y-kolam 160,x-kolam 161,y-kolam 161,x-kolam 162,y-kolam 162,x-kolam 163,y-kolam 163,x-kolam 164,y-kolam 164,x-kolam 165,y-kolam 165,x-kolam 166,y-kolam 166,x-kolam 167,y-kolam 167,x-kolam 168,y-kolam 168,x-kolam 169,y-kolam 169,x-kolam 170,y-kolam 170,x-kolam 171,y-kolam 171,x-kolam 172,y-kolam 172,x-kolam 173,y-kolam 173,x-kolam 174,y-kolam 174,x-kolam 175,y-kolam 175,x-kolam 176,y-kolam 176,x-kolam 177,y-kolam 177,x-kolam 178,y-kolam 178,x-kolam 179,y-kolam 179,x-kolam 180,y-kolam 180,x-kolam 181,y-kolam 181,x-kolam 182,y-kolam 182,x-kolam 183,y-kolam 183,x-kolam 184,y-kolam 184,x-kolam 185,y-kolam 185,x-kolam 186,y-kolam 186,x-kolam 187,y-kolam 187,x-kolam 188,y-kolam 188,x-kolam 189,y-kolam 189,x-kolam 190,y-kolam 190,x-kolam 191,y-kolam 191,x-kolam 192,y-kolam 192,x-kolam 193,y-kolam 193,x-kolam 194,y-kolam 194,x-kolam 195,y-kolam 195,x-kolam 196,y-kolam 196,x-kolam 197,y-kolam 197,x-kolam 198,y-kolam 198,x-kolam 199,y-kolam 199,x-kolam 200,y-kolam 200,x-kolam 201,y-kolam 201,x-kolam 202,y-kolam 202,x-kolam 203,y-kolam 203,x-kolam 204,y-kolam 204,x-kolam 205,y-kolam 205,x-kolam 206,y-kolam 206,x-kolam 207,y-kolam 207,x-kolam 208,y-kolam 208,x-kolam 209,y-kolam 209,x-kolam 210,y-kolam 210,x-kolam 211,y-kolam 211,x-kolam 212,y-kolam 212,x-kolam 213,y-kolam 213,x-kolam 214,y-kolam 214,x-kolam 215,y-kolam 215,x-kolam 216,y-kolam 216,x-kolam 217,y-kolam 217,x-kolam 218,y-kolam 218,x-kolam 219,y-kolam 219,x-kolam 220,y-kolam 220,x-kolam 221,y-kolam 221,x-kolam 222,y-kolam 222,x-kolam 223,y-kolam 223,x-kolam 224,y-kolam 224,x-kolam 225,y-kolam 225,x-kolam 226,y-kolam 226,x-kolam 227,y-kolam 227,x-kolam 228,y-kolam 228,x-kolam 229,y-kolam 229,x-kolam 230,y-kolam 230,x-kolam 231,y-kolam 231,x-kolam 232,y-kolam 232,x-kolam 233,y-kolam 233,x-kolam 234,y-kolam 234,x-kolam 235,y-kolam 235,x-kolam 236,y-kolam 236,x-kolam 237,y-kolam 237,x-kolam 238,y-kolam 238,x-kolam 239,y-kolam 239,x-kolam 240,y-kolam 240,x-kolam 241,y-kolam 241,x-kolam 242,y-kolam 242,x-kolam 243,y-kolam 243,x-kolam 244,y-kolam 244,x-kolam 245,y-kolam 245,x-kolam 246,y-kolam 246,x-kolam 247,y-kolam 247,x-kolam 248,y-kolam 248,x-kolam 249,y-kolam 249,x-kolam 250,y-kolam 250,x-kolam 251,y-kolam 251,x-kolam 252,y-kolam 252,x-kolam 253,y-kolam 253,x-kolam 254,y-kolam 254,x-kolam 255,y-kolam 255,x-kolam 256,y-kolam 256,x-kolam 257,y-kolam 257,x-kolam 258,y-kolam 258,x-kolam 259,y-kolam 259,x-kolam 260,y-kolam 260,x-kolam 261,y-kolam 261,x-kolam 262,y-kolam 262,x-kolam 263,y-kolam 263,x-kolam 264,y-kolam 264,x-kolam 265,y-kolam 265,x-kolam 266,y-kolam 266,x-kolam 267,y-kolam 267,x-kolam 268,y-kolam 268,x-kolam 269,y-kolam 269,x-kolam 270,y-kolam 270,x-kolam 271,y-kolam 271,x-kolam 272,y-kolam 272,x-kolam 273,y-kolam 273,x-kolam 274,y-kolam 274,x-kolam 275,y-kolam 275,x-kolam 276,y-kolam 276,x-kolam 277,y-kolam 277,x-kolam 278,y-kolam 278,x-kolam 279,y-kolam 279,x-kolam 280,y-kolam 280,x-kolam 281,y-kolam 281,x-kolam 282,y-kolam 282,x-kolam 283,y-kolam 283,x-kolam 284,y-kolam 284,x-kolam 285,y-kolam 285,x-kolam 286,y-kolam 286,x-kolam 287,y-kolam 287,x-kolam 288,y-kolam 288,x-kolam 289,y-kolam 289,x-kolam 290,y-kolam 290,x-kolam 291,y-kolam 291,x-kolam 292,y-kolam 292,x-kolam 293,y-kolam 293,x-kolam 294,y-kolam 294,x-kolam 295,y-kolam 295,x-kolam 296,y-kolam 296,x-kolam 297,y-kolam 297,x-kolam 298,y-kolam 298,x-kolam 299,y-kolam 299,x-kolam 300,y-kolam 300,x-kolam 301,y-kolam 301,x-kolam 302,y-kolam 302,x-kolam 303,y-kolam 303,x-kolam 304,y-kolam 304,x-kolam 305,y-kolam 305,x-kolam 306,y-kolam 306,x-kolam 307,y-kolam 307,x-kolam 308,y-kolam 308,x-kolam 309,y-kolam 309,x-kolam 310,y-kolam 310,x-kolam 311,y-kolam 311,x-kolam 312,y-kolam 312,x-kolam 313,y-kolam 313,x-kolam 314,y-kolam 314,x-kolam 315,y-kolam 315,x-kolam 316,y-kolam 316,x-kolam 317,y-kolam 317,x-kolam 318,y-kolam 318,x-kolam 319,y-kolam 319,x-kolam 320,y-kolam 320,x-kolam 321,y-kolam 321,x-kolam 322,y-kolam 322,x-kolam 323,y-kolam 323,x-kolam 324,y-kolam 324,x-kolam 325,y-kolam 325,x-kolam 326,y-kolam 326,x-kolam 327,y-kolam 327,x-kolam 328,y-kolam 328,x-kolam 329,y-kolam 329,x-kolam 330,y-kolam 330,x-kolam 331,y-kolam 331,x-kolam 332,y-kolam 332,x-kolam 333,y-kolam 333,x-kolam 334,y-kolam 334,x-kolam 335,y-kolam 335,x-kolam 336,y-kolam 336,x-kolam 337,y-kolam 337,x-kolam 338,y-kolam 338,x-kolam 339,y-kolam 339,x-kolam 340,y-kolam 340,x-kolam 341,y-kolam 341,x-kolam 342,y-kolam 342,x-kolam 343,y-kolam 343,x-kolam 344,y-kolam 344,x-kolam 345,y-kolam 345,x-kolam 346,y-kolam 346,x-kolam 347,y-kolam 347,x-kolam 348,y-kolam 348,x-kolam 349,y-kolam 349,x-kolam 350,y-kolam 350,x-kolam 351,y-kolam 351,x-kolam 352,y-kolam 352,x-kolam 353,y-kolam 353,x-kolam 354,y-kolam 354,x-kolam 355,y-kolam 355,x-kolam 356,y-kolam 356,x-kolam 357,y-kolam 357,x-kolam 358,y-kolam 358,x-kolam 359,y-kolam 359,x-kolam 360,y-kolam 360,x-kolam 361,y-kolam 361,x-kolam 362,y-kolam 362,x-kolam 363,y-kolam 363,x-kolam 364,y-kolam 364,x-kolam 365,y-kolam 365,x-kolam 366,y-kolam 366,x-kolam 367,y-kolam 367,x-kolam 368,y-kolam 368,x-kolam 369,y-kolam 369,x-kolam 370,y-kolam 370,x-kolam 371,y-kolam 371,x-kolam 372,y-kolam 372,x-kolam 373,y-kolam 373,x-kolam 374,y-kolam 374,x-kolam 375,y-kolam 375,x-kolam 376,y-kolam 376,x-kolam 377,y-kolam 377,x-kolam 378,y-kolam 378,x-kolam 379,y-kolam 379,x-kolam 380,y-kolam 380,x-kolam 381,y-kolam 381,x-kolam 382,y-kolam 382,x-kolam 383,y-kolam 383,x-kolam 384,y-kolam 384,x-kolam 385,y-kolam 385,x-kolam 386,y-kolam 386,x-kolam 387,y-kolam 387,x-kolam 388,y-kolam 388,x-kolam 389,y-kolam 389,x-kolam 390,y-kolam 390,x-kolam 391,y-kolam 391,x-kolam 392,y-kolam 392,x-kolam 393,y-kolam 393,x-kolam 394,y-kolam 394,x-kolam 395,y-kolam 395,x-kolam 396,y-kolam 396,x-kolam 397,y-kolam 397,x-kolam 398,y-kolam 398,x-kolam 399,y-kolam 399,x-kolam 400,y-kolam 400
1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
2,1,2,0.5,2,0.5,2,0.5,2,1,2,1,2,0.5,2,0.5,2,0.5,2,1,2,0.5,2,0.5,2,0.5,2,1,2,0.5,2,1,2,0.5,2,1,2,1,2,1,2,1,2,0.5,2,0.5,2,0.5,2,1,2,0.5,2,1,2,1,2,1,2,0.5,2,0.5,2,1,2,0.5,2,0.5,2,0.5,2,0.5,2,1,2,0.5,2,1,2,0.5,2,0.5,2,1,2,0.5,2,1,2,1,2,1,2,1,2,0.5,2,1,2,1,2,0.5,2,1,2,0.5,2,0.5,2,0.5,2,1,2,1,2,0.5,2,0.5,2,1,2,1,2,0.5,2,0.5,2,0.5,2,1,2,0.5,2,0.5,2,1,2,1,2,1,2,1,2,1,2,1,2,0.5,2,0.5,2,1,2,1,2,0.5,2,1,2,1,2,0.5,2,1,2,0.5,2,0.5,2,0.5,2,0.5,2,0.5,2,0.5,2,1,2,0.5,2,0.5,2,1,2,0.5,2,1,2,1,2,1,2,1,2,0.5,2,0.5,2,0.5,2,0.5,2,0.5,2,1,2,1,2,1,2,0.5,2,1,2,1,2,0.5,2,0.5,2,1,2,0.5,2,1,2,0.5,2,0.5,2,0.5,2,1,2,1,2,0.5,2,0.5,2,0.5,2,0.5,2,1,2,1,2,1,2,0.5,2,0.5,2,1,2,0.5,2,1,2,0.5,2,1,2,0.5,2,0.5,2,1,2,0.5,2,0.5,2,1,2,0.5,2,0.5,2,1,2,0.5,2,1,2,0.5,2,1,2,0.5,2,0.5,2,0.5,2,0.5,2,1,2,0.5,2,1,2,0.5,2,0.5,2,0.5,2,0.5,2,0.5,2,1,2,1,2,0.5,2,0.5,2,1,2,1,2,0.5,2,1,2,0.5,2,0.5,2,0.5,2,0.5,2,0.5,2,0.5,2,0.5,2,1,2,1,2,0.5,2,0.5,2,0.5,2,1,2,1,2,0.5,2,1,2,0.5,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,0.5,2,0.5,2,1,2,0.5,2,0.5,2,0.5,2,0.5,2,0.5,2,0.5,2,1,2,0.5,2,0.5,2,0.5,2,1,2,1,2,0.5,2,1,2,1,2,0.5,2,1,2,0.5,2,1,2,0.5,2,1,2,1,2,0.5,2,0.5,2,0.5,2,0.5,2,0.5,2,1,2,0.5,2,1,2,1,2,1,2,0.5,2,0.5,2,0.5,2,0.5,2,0.5,2,0.5,2,0.5,2,1,2,1,2,0.5,2,1,2,0.5,2,1,2,1,2,0.5,2,1,2,1,2,1,2,0.5,2,0.5,2,0.5,2,0.5,2,0.5,2,0.5,2,1,2,0.5,2,1,2,0.5,2,1,2,1,2,1,2,1,2,1,2,0.5,2,0.5,2,1,2,1,2,0.5,2,0.5,2,1,2,0.5,2,1,2,0.5,2,0.5,2,0.5,2,0.5,2,1,2,1,2,0.5,2,0.5,2,0.5,2,0.5,2,0.5,2,0.5,2,1,2,0.5,2,0.5,2,1,2,1,2,1,2,0.5,2,1,2,0.5,2,1,2,0.5,2,1,2,1,2,0.5,2,0.5,2,1,2,1,2,1,2,1,2,0.5,2,0.5,2,0.5,2,1,2,0.5,2,0.5,2,0.5,2,0.5,2,0.5,2,1,2,0.5,2,0.5,2,0.5,2,0.5,2,1,2,0.5,2,0.5,2,1,2,1,2,1,2,0.5,2,0.5,2,0.5,2,1,2,0.5,2,1,2,0.5,2,0.5,2,1,2,0.5,2,0.5,2,0.5,2,1,2,1,2,1,2,0.5,2,0.5,2,0.5,2,0.5,2,0.5,2,0.5,2,0.5,2,1,2,0.5,2,1,2,0.5,2,0.5,2,0.5,2,0.5,2,0.5,2,0.5,2,0.5,2,0.5,2,0.5,2,1,2,1,2,0.5,2,0.5,2,0.5,2,1,2,0.5,2,0.5,2,0.5,2,1,2,0.5,2,0.5,2,1,2,1,2,0.5,2,0.5,2,1,2,1,2,1,2,0.5,2,0.5,2,0.5,2,0.5,2,1,2,0.5,2,0.5,2,0.5,2,1,2,1,2,1,2,1,2,1,2,1,2,0.5,2,0.5,2,0.5,2,0.5,2,0.5,2,1,2,0.5,2,1,2,1,2,1,2,1,2,0.5,2,0.5,2,0.5,2,1,2,0.5
2.5,2,3,0,3,0,3,0,3,2,3,2,3,0,3,0,3,0,3,2,3,0,3,0,3,0,2.5,2,3,0,2.5,2,3,0,3,2,2.5,2,3,2,2.5,2,3,0,3,0,3,0,3,2,3,0,2.5,2,3,2,2.5,2,3,0,3,0,3,2,3,0,3,0,3,0,3,0,3,2,3,0,2.5,2,3,0,3,0,3,2,3,0,3,2,3,2,2.5,2,2.5,2,3,0,3,2,3,2,3,0,3,2,3,0,3,0,3,0,3,2,3,2,3,0,3,0,2.5,2,3,2,3,0,3,0,3,0,2.5,2,3,0,3,0,2.5,2,3,2,2.5,2,2.5,2,3,2,2.5,2,3,0,3,0,3,2,3,2,3,0,2.5,2,2.5,2,3,0,2.5,2,3,0,3,0,3,0,3,0,3,0,3,0,2.5,2,3,0,3,0,3,2,3,0,3,2,2.5,2,3,2,3,2,3,0,3,0,3,0,3,0,3,0,3,2,3,2,3,2,3,0,2.5,2,2.5,2,3,0,3,0,3,2,3,0,3,2,3,0,3,0,3,0,3,2,3,2,3,0,3,0,3,0,3,0,3,2,3,2,3,2,3,0,3,0,3,2,3,0,3,2,3,0,2.5,2,3,0,3,0,3,2,3,0,3,0,2.5,2,3,0,3,0,3,2,3,0,2.5,2,3,0,3,2,3,0,3,0,3,0,3,0,2.5,2,3,0,2.5,2,3,0,3,0,3,0,3,0,3,0,2.5,2,2.5,2,3,0,3,0,3,2,2.5,2,3,0,3,2,3,0,3,0,3,0,3,0,3,0,3,0,3,0,2.5,2,2.5,2,3,0,3,0,3,0,3,2,2.5,2,3,0,2.5,2,3,0,2.5,2,2.5,2,3,2,3,2,3,2,3,2,2.5,2,3,0,3,0,2.5,2,3,0,3,0,3,0,3,0,3,0,3,0,2.5,2,3,0,3,0,3,0,3,2,3,2,3,0,3,2,3,2,3,0,2.5,2,3,0,3,2,3,0,2.5,2,2.5,2,3,0,3,0,3,0,3,0,3,0,2.5,2,3,0,3,2,2.5,2,3,2,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,2,2.5,2,3,0,2.5,2,3,0,2.5,2,2.5,2,3,0,2.5,2,2.5,2,3,2,3,0,3,0,3,0,3,0,3,0,3,0,3,2,3,0,2.5,2,3,0,3,2,3,2,3,2,2.5,2,2.5,2,3,0,3,0,3,2,2.5,2,3,0,3,0,3,2,3,0,2.5,2,3,0,3,0,3,0,3,0,3,2,3,2,3,0,3,0,3,0,3,0,3,0,3,0,2.5,2,3,0,3,0,2.5,2,2.5,2,2.5,2,3,0,2.5,2,3,0,2.5,2,3,0,3,2,2.5,2,3,0,3,0,3,2,3,2,2.5,2,3,2,3,0,3,0,3,0,3,2,3,0,3,0,3,0,3,0,3,0,3,2,3,0,3,0,3,0,3,0,3,2,3,0,3,0,3,2,3,2,2.5,2,3,0,3,0,3,0,3,2,3,0,3,2,3,0,3,0,3,2,3,0,3,0,3,0,3,2,2.5,2,2.5,2,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,2,3,0,2.5,2,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,2,2.5,2,3,0,3,0,3,0,2.5,2,3,0,3,0,3,0,3,2,3,0,3,0,3,2,2.5,2,3,0,3,0,3,2,2.5,2,2.5,2,3,0,3,0,3,0,3,0,3,2,3,0,3,0,3,0,3,2,3,2,2.5,2,3,2,3,2,2.5,2,3,0,3,0,3,0,3,0,3,0,2.5,2,3,0,3,2,3,2,2.5,2,3,2,3,0,3,0,3,0,3,2,3,0
